nicu,name,addr,city_state_zip,level,beds,type,contact
243,Children’s of Mississippi,2500 N State St,"Jackson, MS 39216",IV,102,Academic Program,"Mobolaji Famuyide, MD"
244,Children’s Scottish Rite Hospital,1001 Johnson Ferry Road NE,"Atlanta, GA 30342",III,35,Private Practice,"Patrick S. Spafford, MD (Neonatology Associates)"
245,Chilton Medical Center,"97 West Pkwy,","Pompton Plains, NJ 07444",II,4,Private Practice,"Lawrence Skolnick, MD"
246,Chippenham Hospital,7101 Jahnke Rd,"Richmond, VA 23225",III,15,Private Practice,"Sandy Tarant, MD"
247,Christiana Hospital,4755 Ogletown Stanton Rd,"Newark, DE 19718",III,68,Private Practice,"Michael Antunes, M.D."
248,Christus Good Shepherd Medical Center,700 E Marshall Ave,"Longview, TX 75601",III,31,,
249,Christus Highland Medical Center,1453 East Bert Kouns Industrial Loop,"Shreveport, LA 71115",III,21,Employed Group,"Sara Serio, MD"
250,Christus Santa Rosa Hospital – New Braunfels,600 N Union Ave,"New Braunfels, TX 78130",II,,Private Practice,
251,CHRISTUS Santa Rosa Hospital – Westover Hills,11212 TX-151,"San Antonio, TX 78251",II,,,
252,Christus Southeast Texas – St. Elizabeth,2830 Calder Ave,"Beaumont, TX 77702",III,14,,
253,Christus Spohn Hospital South,5950 Saratoga Blvd,"Corpus Christi, TX 78414",III,24,Private Practice,"Alfonso Prado, MD"
254,Christus St. Frances Cabrini Hospital,3330 Masonic Dr.,"Alexandria, LA 71301",III,20,Private Practice,"Amar Nijjar, MD"
255,Christus St. Michael Hospital,2600 St Michael Dr,"Texarkana, TX 75503",III,15,Private Practice,"Susan Keeney, MD"
256,Christus St. Vincent Regional Medical Center,455 St. Michael's Drive,"Santa Fe, NM 87505",II,4,,
257,Christus Trinity Mother Frances,800 E Dawson St,"Tyler, TX 75701",III,28,,"Brenda Morris, MD"
258,Cincinnati Children’s Hospital,3333 Burnet Ave,"Cincinnati, OH 45229",IV,93,Academic Program,"Beth Haberman, MD"
259,Citizens Medical Center,2701 Hospital Dr,"Victoria, TX 77901",II,,Private Practice,
260,Clara Maass Medical Center,"1 Clara Maass Dr,","Belleville, NJ 07109",II,,Employed Group,
261,Clark Memorial Health,1220 Missouri Ave,"Jeffersonville, IN 47130",II,7,Academic Program,"Ketan Mehta, MD"
262,Cleveland Clinic,9500 Euclid Avenue,"Cleveland, OH",III,17,Academic Program,"Ricardo Rodriguez, MD"
263,Cleveland Clinic Martin North Hospital,200 SE Hospital Ave,"Stuart, FL 34994",II,5,,
264,Clovis Community Medical Center,2755 Herndon Ave,"Clovis, CA 93611",II,8,Private Practice,"Alok Kumar, MD"
265,Cohen Children’s Medical Center,269-01 76th Avenue,"New Hyde Park, NY 11040",IV,57,Academic Program,"Vita Boyar, MD"
266,Colquitt Regional Medical Center,3131 S Main St,"Moultrie, GA 31768",II,,,
267,Columbia – St. Mary’s Milwaukee,2301 N Lake Dr,"Milwaukee, WI 53211",III,25,Employed Group,
268,Columbus Regional Health,2400 17th St,"Columbus, IN 47201",II,,,
269,Comanche County Memorial Hospital,3401 West Gore Boulevard,"Lawton, Oklahoma 73505",II,8,Academic Program,"Abhishek Makkar, MD"
270,Community Hospital,901 Macarthur Blvd,"Munster, IN 46321, USA",III,32,Academic Program,
271,Community Hospital East,1500 N Ritter Ave,"Indianapolis, IN 46219",II,,Academic Program,
272,Community Hospital North,7150 Clearvista Dr,"Indianapolis, IN 46256",III,36,Academic Program,"David Hertz, MD"
273,Community Hospital of San Bernardino,1805 Medical Center Dr,"San Bernardino, CA 92411",II,,,
274,Community Hospital of the Monterey Penninsula,23625 Holman Hwy,"Monterey, CA 93940",II,8,,
275,Community Hospital South,1402 E County Line Rd,"Indianapolis, IN 46227",II,,,
276,Community Medical Center,2827 Fort Missoula Rd,Missoula MT 59804,III,22,Hospital Employed,"Bonnie Stephens, MD"
277,Community Medical Center,99 NJ-37,"Toms River, NJ 08755",II,,Employed Group,
278,Community Memorial Hospital,W180 N8085 Town Hall Rd,"Menomonee Falls, WI 53051",II,,Academic Program,
279,Community Memorial Hospital Of San Buena Ventura,147 N Brent St,"Ventura, CA 93003",III,28,Private Practice,
280,Community Regional Medical Center,2823 Fresno St,"Fresno, CA 93721",III,84,Private Practice,"Krish Rajani, MD"
281,Concord Hospital,250 Pleasant St,"Concord, NH 03301",II,3,,
282,Cone Health Women’s Hospital,801 Green Valley Rd,"Greensboro, NC 27408",III,45,Private Practice,"John Wimmer, MD"
283,Conemaugh Memorial Medical Center,1086 Franklin St,"Johnstown, PA 15905",III,16,Employed Group,
284,Coney Island Hospital,"2601 Ocean Pkwy,","Brooklyn, NY 11235",II,10,,
285,Contra Costa Regional Medical Center,2500 Alhambra Ave,"Martinez, CA 94553",II,,,
286,Convenant Healthcare – Saginaw,1447 N. Harrison St.,"Saginaw, MI 48602",III,55,Private Practice,
287,Conway Regional Medical Center,2302 College Ave,"Conway, AR 72034",II,6,,
288,Cook Children’s Medical Center,801 7th Ave,"Fort Worth, TX 76104",IV,106,Private Practice,"Michael Stevener, MD"
289,Copper University Hospital,"1 Cooper Plaza,","Camden, NJ 08103",III,25,Academic Program,"Linda Slater-Meyer, MD"
290,Corpus Christi Medical Center,7101 South Padre Island Dr,"Corpus Christi, TX 78412",III,24,Private Practice,"Miguel DeLeon, MD"
291,Corpus Christi Medical Center – Bay Area,3280 Joe Battle Blvd,"El Paso, TX 79938",III,6,Private Practice,
292,Covenant Children’s Hospital,4000 24th St,"Lubbock, TX 79410",IV,53,Private Practice,"John Sparks, MD"
293,Cox Medical Center South Hospital,3801 S National Ave,"Springfield, MO 65807",III,40,Private Practice,"Joseph Eccher, MD"
294,CPMC – Davis Campus,Duboce Ave,"San Francisco, CA 94114",III,,Network Medical Group,"Jane Lee, MD"
295,CPMC Mission Bernal Campus,3555 Cesar Chavez,"San Francisco, CA 94110",II,,,
296,Crestwood Medical Center,1 Hospital Drive Southwest,"Huntsville, AL 35801",III,6,Hospital Employed,
297,Crisp Regional Hospital,902 7th St N,"Cordele, GA 31015",II,,,
298,Crouse Hospital,736 Irving Ave,"Syracuse, NY 13210",IV,57,Private Practice,"Steven Gross, MD"
299,Crozer-Chester Medical Center,1 Medical Center Blvd.,"Upland, PA 19013",III,18,Academic Program,"Cynthia Dembofsky, MD"
300,Danbury Hospital,105-A Newtown Road,"Danbury, CT 06810",III,21,Academic Program,"Brett Citarella, MD"
301,Dartmouth-Hitchcock Medical Center,1 Medical Center Dr,"Lebanon, NH 03766",III,30,Academic Program,"Steven Ringer, MD"
302,Davis Hospital and Medical Center,1600 West Antelope Drive,"Layton, UT 84041",III,16,Private Practice,"James Berger, MD"
303,Dayton Children’s Medical Center,1 Childrens Plaza,"Dayton, OH 45404",III,41,Private Practice,"David Yohannan, MD"
304,DCH Regional Medical Center,809 University Blvd E,"Tuscaloosa, AL 35401",III,21,Private Practice,"Javier Repetto, MD"
305,Deaconess – The Women’s Hospital,4199 Gateway Blvd,"Newburgh, IN 47630",III,24,Hospital Employed,
306,Decatur Memorial Hospital,2300 N Edward St,"Decatur, IL 62526",II,,,
307,Del Sol Medical Center,10301 Gateway Blvd W,"El Paso, TX 79925",III,35,Private Practice,
308,Delaware County Memorial Hospital,501 N Lansdowne Ave,"Drexel Hill, PA 19026",II,6,,
309,Dell Children’s Medical Center,4900 Mueller Blvd,"Austin, TX 78723",IV,30,Private Practice,"John Loyd, MD"
310,Delta Regional Medical Center,1400 East Union Street,"Greenville, MS 38703",II,8,Academic Program,
311,Denver Health,777 Bannock Street,"Denver, CO 80204",III,25,Employed Group,"Patricia Hagan, MD"
312,Desert Regional Medical Center,1150 N Indian Canyon Dr,"Palm Springs, CA 92262",III,30,Private Practice,"Robert Piecuch, MD"
313,DeTar Hospital Navarro,506 E San Antonio St,"Victoria, TX 77901",III,9,Private Practice,"Girish Gowda, MD"
314,Dixie Regional Medical Center,1380 E Medical Center Dr.,"St. George, UT 84790",III,20,Employed Group,"Holly Strike, MD"
315,Doctor’s Medical Center,1441 Florida Ave,"Modesto, CA 95350",III,,Private Practice,
316,Doctors Hospital,3651 Wheeler Rd,"Augusta, GA 30909",II,9,Private Practice,
317,Doctors Hospital,5100 W Broad St,"Columbus, OH 43228",III,,Private Practice,
318,Doctors Hospital of Laredo,10700 McPherson Rd,"Laredo, TX 78045",III,20,,
319,Dominican Hospital,1555 Soquel Dr,"Santa Cruz, CA 95065",II,14,Academic Program,"Magdy Ismail, MD"
320,Doylestown Hospital,595 W State St,"Doylestown, PA 18901",II,4,Academic Program,"Shehla Siddiqui, MD"
321,Driscoll Children’s Hospital,3533 S Alameda St,"Corpus Christi, TX 78411",IV,61,Private Practice,"MIguel DeLeon, MD"
322,Dublin Methodist Hospital,7500 Hospital Dr,"Dublin, OH 43016",II,7,Private Practice,"Wedny Luce, MD"
323,Duke Regional Hospital,3643 N Roxboro St,"Durham, NC 27704",II,18,Academic Program,
324,Duke University Hospital,2301 Erwin Rd,"Durham, NC 27710",IV,57,Academic Program,
325,Dupont Hospital,2520 E Dupont Rd,"Fort Wayne, IN 46825",III,25,Private Practice,"Janet Leezer, MD"
326,East Alabama Medical Center,2000 Pepperell Pkwy,"Opelika, AL 36801",II,10,Private Practice,"Audra Prince, MD"
327,East Cooper Medical Center,2000 Hospital Dr,"Mt Pleasant, SC 29464",II,10,Academic Program,
328,East Georgia Regional Medical Center,1499 Fair Rd,"Statesboro, GA 30458",II,5,,
329,East Jefferson General Hospital,4200 Houma Blvd,"Metairie, LA 70006",II,17,Academic Program,"Dana Rivera, MD"
330,East Tennessee Children’s Hospital,"2018 W, Clinch Ave","Knoxville, TN 37916",III,60,Private Practice,"John Buchheit, MD"
331,Eastern Connecticut Health Network,71 Haynes St,"Manchester, CT 06040",II,,Academic Program,"David Sink, MD"
332,Eastern Idaho Medical Center,3100 Channing Way,"Idaho Falls, ID 83404",III,17,Private Practice,"Robert ""Wyc"" Cheatham, MD"
333,Eastern Maine Medical Center,489 State St,"Bangor, ME 04401",III,29,Hospital Employed,"Mark Brown, MD"
334,Eastside Medical Center,1700 Medical Way,"Snellville, GA 30078",III,18,,
335,Edward Hospital,801 S. Washington Street,"Naperville, IL 60540",III,35,Private Practice,"Bob Covert, MD"
336,Einstein Medical Center Montgomery,559 W Germantown Pike,"East Norriton, PA 19403",III,8,Academic Program,"David J. Hoffman, MD"
337,Einstein Medical Center Philadelphia,5501 Old York Rd,"Philadelphia, PA 19141",III,8,Private Practice,
338,El Camino Hospital,2500 Grant Rd,"Mountain View, CA 94040",III,20,Academic Program,"Dharshi Sivakumar, MD"
339,El Camino Hospital Los Gatos,815 Pollard Rd,"Los Gatos, CA 95032",II,,Academic Program,"Dharshi Sivakumar, MD"
340,El Paso Children’s Hospital,4845 Alameda Ave,"El Paso, TX 79905",IV,50,Academic Program,"Garrett Levin, MD"
341,Elkhart General Hospital,"600 East Blvd,","Elkhart, IN 46514",II,,Private Practice,"Robert White, MD"
342,Elliot Hospital,1 Elliot Way,"Manchester, NH 03103",III,26,Network Medical Group,
343,Ellis Hospital,1101 Nott Street,Schenectady NY 12308,II,15,Academic Program,"Phillip Pan, MD"
344,Elmhurst Hospital,155 E. Brush Hill Road,"Elmhurst, IL 60126",II,,Academic Program,
345,Elmhurst Hospital Center,79-01 Broadway,"Elmhurst, NY 11373",III,25,Academic Program,"Randi Wasserman, MD"
346,Emerson Hospital,133 Old Rd to 9 Acre Corner,"Concord, MA 01742",II,5,Academic Program,"Johnathan Cronin, MD"
347,Emory Decatur Hospital,2701 N Decatur Rd,"Decatur, GA 30033",III,42,Private Practice,
348,Emory Johns Creek Hospital,6325 Hospital Pkwy,"Johns Creek, GA 30097",III,6,Academic Program,
349,Emory University Hospital Midtown,550 Peachtree St NE,"Atlanta, GA 30308",III,48,Academic Program,"Brenda Poindexter, MD"
350,Englewood Hospital and Medical Center,"350 Engle St,","Englewood, NJ 07631",III,13,Hospital Employed,
351,Ephrata Community Hospital,169 Martin Ave,"Ephrata, PA 17522",III,5,Private Practice,
352,Erlanger East Hospital,1751 Gunbarrel Rd,"Chattanooga, TN 37421",II,6,Academic Program,"Anuj Sinha, DO"
353,Eskenazi Health,720 Eskenazi Ave,"Indianapolis, IN 46202",II,30,Employed Group,
354,Essentia Health – Fargo,3000 32nd Ave S,"Fargo, ND 58103",III,10,,
355,Essentia Health – St. Mary’s Hospital,400 E 3rd St,"Duluth, MN 55805",III,18,Hospital Employed,"Lee A. Muskovitz, MD"
356,Evanston Hospital,2650 Ridge Ave.,"Evanston, IL 60201",III,44,Network Medical Group,"William Mackendrick, MD"
357,Evergreen Hospital,12040 NE 128th St,"Kirkland, WA  98034",III,11,Private Practice,"Barry Lawson, MD"
358,Excela Health,532 West Pittsburgh Street,"Greensburg, PA 15601",II,,Academic Program,"Andrea Willeitner, MD"
359,Fairbanks Memorial Hospital,1001 Nobel Street,"Fairbanks, AK 99701",II,13,,"Laura Brunner, MD"
360,Fairview Hospital,18101 Lorain Ave,"Cleveland, OH 44111",III,26,Academic Program,"Jalal Abu-Shaweesh, MD"
361,Fairview Ridges Hospital,201 E Nicollet Blvd,"Burnsville, MN 55337, USA",III,23,Academic Program,
362,Fairview Southdale Hospital,6401 France Ave S,"Edina, MN 55435",III,18,Academic Program,
363,FirstHealth Moore Regional Hospital,155 Memorial Drive,"Pinehurst, NC 28374",III,13,Hospital Employed,"Nicholas Lynn, MD"
364,Flagstaff Medical Center,1200 N Beaver St,"Flagstaff, AZ 86001",II,18,Private Practice,"Claudia Hart, MD"
365,Flowers Hospital,4370 W Main St,"Dothan, AL 36305",II,6,Private Practice,
366,Floyd Medical Center,304 Turner McCall Blvd,"Rome, GA 30165",III,23,Hospital Employed,
367,Flushing Hospital Medical Center,4500 Parsons Blvd,"Flushing, NY 11355",III,20,Academic Program,"Lourdes Cohen, MD"
368,Forbes Hospital,2570 Haymaker Rd,"Monroeville, PA 15146",II,,Network Medical Group,
369,Forrest General Hospital,6051 US 49,"Hattiesburg, MS 39401",III,23,Private Practice,
370,Forsyth Medical Center,3333 Silas Creek Pkwy,"Winston-Salem, NC 27103",III,56,Private Practice,
371,Fort Hamilton Hospital,630 Eaton Ave,"Hamilton, OH 45013",II,8,Academic Program,
372,Fountain Valley Regional Hospital & Medical Center,11100 Warner Ave,"Fountain Valley, CA 92708",III,23,Private Practice,
373,Franciscan Health Crown Point,1201 S Main St,"Crown Point, IN 46307",III,20,Private Practice,"Brett Galley, MD"
374,Franciscan Health Dyer,24 Joliet St,"Dyer, IN 46311",II,,Private Practice,"Brett Galley, MD"
375,Franciscan Health Hammond,5454 Hohman Avenue,"Hammond, IN 46320",II,,Private Practice,"Brett Galley, MD"
376,Franciscan Health Lafayette East,1701 S Creasy Lane,"Lafayette, IN 47905",III,14,Private Practice,"Rosaria Chua, MD"
377,Franciscan Health Mooresville,1201 Hadley Rd,"Mooresville, IN 46158",II,,Network Medical Group,
378,Franciscan Health Olympia Fields,"20201 Crawford Ave,","Olympia Fields, IL 60461",II,,Network Medical Group,
379,Franciscan St. Francis Health,8111 S. Emerson Ave.,"Indianapolis, IN 46237",III,24,Academic Program,"Paul D. Winchester, MD"
380,Frankfort Regional Medical Director,299 Kings Daughters Dr,"Frankfort, KY 40601",II,4,Academic Program,
381,Franklin Square Hospital Center,"9000 Franklin Square Dr,","Baltimore, MD 21237",III,23,Employed Group,"Fernando V. Mena, MD"
382,Frederick Memorial Hospital,"400 W 7th St,","Frederick, MD 21701",III,30,Academic Program,
383,Freeman Hospital West,1102 W. 32nd St,"Joplin, MO 64804",III,24,Employed Group,
384,French Hospital Medical Center,1911 Johnson Ave,"San Luis Obispo, CA 93401",II,8,,
385,Froedtert Hospital,9200 W. Wisconsin Ave.,"Milwaukee, WI 53226",II,,Academic Program,
386,Froedtert Pleasant Prairie Hospital,"9555 76th St,","Pleasant Prairie, WI 53158",II,,Employed Group,
387,Froedtert West Bend Hospital,3200 Pleasant Valley Rd,"West Bend, WI 53095",II,,Academic Program,
388,Frye Regional Medical Center,420 N Center St,"Hickory, NC 28601",II,6,Private Practice,"Samuel Wellman, MD"
389,Garden Grove Hospital And Medical Center,12601 Garden Grove Blvd,"Garden Grove, CA 92843",II,,,
390,Garfield Medical Center,525 N Garfield Ave,"Monterey Park, CA 91754",II,20,,
391,Geary Community Hospital – Junction City,1102 St Marys Rd,"Junction City, KS 66441",II,,,
392,Geinsinger Holy Spirit Hospital,503 N. 21st St.,"Camp Hill, PA 17011",III,5,Network Medical Group,"Carrie Delone, MD"
393,Geisinger Medical Center,100 N. Academy Ave,"Danville, PA 17822",IV,41,Network Medical Group,
394,Geisinger Wyoming Valley Medical Center,1000 E Mountain Blvd,"Wilkes-Barre, PA 18711",II,13,Network Medical Group,
395,Genesis Medical Center – Davenport,1227 East Rusholme Street,"Davenport, IA 52803",II,20,,"Ram Niwas,. MD"
396,Genesis Medical Center – Silvis,801 Illini Dr,"Silvis, IL 61282",II,,,
397,George Washington University Hospital,900 23rd St NW,"Washington, DC 20037",III,18,Academic Program,"Mohamed  Mohamed, MD"
398,Georgetown University Hospital,3800 Reservoir Road Northwest,"Washington, DC 20007",IV,36,Academic Program,"Jayashree Ramasethu, MD"
399,Glendale Adventist Medical Center,1509 Wilson Terrace,"Glendale, CA 91206",II,14,Private Practice,
400,Glendale Memorial Hospital,1420 S Central Ave,"Glendale, CA 91204",III,13,Private Practice,"Robert Gall, MD"
401,Glenwood Regional Medical Center,503 McMillan Rd,"West Monroe, LA 71291",II,6,Private Practice,"Marc de Soler, MD"
402,Golisano Children’s Hospital of Southwest Florida,9981 S Healthpark Dr,"Fort Myers, FL 33908",III,70,Private Practice,"William Liu, MD"
403,Golisano Children’s Hospital,601 Elmwood Ave,"Rochester, NY 14642",IV,68,Academic Program,"Jeffrey Meyers, MD"
404,Good Samaritan Hospital,2425 Samaritan Dr,"San Jose, CA 95124",III,51,Private Practice,Richard Powers MD
405,Good Samaritan Hospital,235 N Pearl St,"Brockton, MA 02301, USA",II,10,Academic Program,"Shah Hossain, MD"
406,Good Samaritan Hospital,375 Dixmyth Ave,"Cincinnati, OH 45220",III,60,Academic Program,"Amy Nathan, MD"
407,Good Samaritan Hospital,1225 Wilshire Blvd,"Los Angeles, CA 90017",III,23,,
408,Good Samaritan Hospital,255 Lafayette Ave,"Suffern, NY 10901",II,10,Academic Program,"Martin Katzenstein, MD"
409,Good Samaritan Hospital Medical Center,1000 Montauk Hwy,"West Islip, NY 11795",III,16,Private Practice,"Prabhu Mehta, MD"
410,Good Samaritan Medical Center,1309 N Flagler Dr,"West Palm Beach, FL 33401, USA",II,,Private Practice,
411,Grady Memorial Hospital,80 Jesse Hill Jr Dr SE,"Atlanta, GA 30303",III,42,Academic Program,"George Bugg, MD"
412,Graham Hospital,210 W Walnut St,"Canton, IL 61520",II,,,
413,Grand Strand Regional Medical Center,"809 82nd Pkwy,","Myrtle Beach, SC 29572",II,2,Private Practice,"Anthony Caeton, MD"
414,Grand View Hospital,700 Lawn Ave,"Sellersville, PA 18960",II,6,Academic Program,"Ana Sosnovsky, MD"
415,Grandview Medical Center,3690 Grandview Pkwy,"Birmingham, AL 35243",III,12,Academic Program,"Allison Black, MD"
416,Grant Medical Center,111 S Grant Ave,"Columbus, OH 43215",III,18,Private Practice,"Craig Anderson, MD"
417,Greater Baltimore Medical Center,6701 Charles St,"Towson, MD 21204",III,23,Employed Group,"Howard Birenbaum, MD"
418,Greenwich Hospital,5 Perryridge Road,"Greenwich, CT 06830",III,10,Academic Program,Open Position
419,Gulf Coast Regional Medical Center,449 W 23rd St,"Panama City, FL 32405",III,28,Private Practice,"Tony Pena, MD"
420,Gundersen Lutheran Medical Center,1900 South Ave,"La Crosse, WI 54601",III,14,Network Medical Group,"Kate Moen, MD"
421,Hackensack University Medical Center,"30 Prospect Ave,","Hackensack, NJ 07601",III,40,Academic Program,
422,Halifax Health Medical Center,303 N Clyde Morris Blvd,"Daytona Beach, FL 32114",III,14,Academic Program,
423,Hamilton Medical Center,1200 Memorial Drive,"Dalton, GA 30722-1168",III,12,Private Practice,"Travis Carroll, MD"
424,Harbor Hospital,"3001 S Hanover St,","Baltimore, MD 21225",II,13,Academic Program,"Laurel Yap, MD"
425,Harbor-UCLA Medical Center,1000 W Carson St,"Torrance, CA 90502",III,35,Academic Program,"Virender Rehan, MD"
426,Hardin Memorial Hospital,913 N. Dixie Hwy,Elizabethtown KY 42701,II,6,Academic Program,
427,Harlem Hospital Center,506 Lenox Ave,"New York, NY 10037",III,15,Academic Program,"Mary Marron-Corwin, MD"
428,Harlingen Medical Center,5501 US-77,"Harlingen, TX 78550",II,,,
429,Harrison Medical Center,1800 NW Myhre Rd,"Silverdale, WA  98383",II,10,Academic Program,"Steve Welty, MD"
430,Hartford Hospital,282 Washington St,"Hartford, CT 06106",IV,32,Academic Program,"Annmarie Golioto, MD"
431,Haymarket Medical Center,15225 Heathcote Blvd,"Haymarket, VA 20169",II,16,Private Practice,"Shantharama Karanth, MD"
432,Hays Medical Center,2220 Canterbury Dr,"Hays, KS 67601",II,6,,
433,HCA Houston Healthcare Conroe,504 Medical Center Blvd,"Conroe, TX 77304",III,22,,
434,HCA Houston Healthcare Kingwood,22999 US-59 N,"Kingwood, TX 77339",III,24,,
435,HCA Houston Healthcare Northwest,710 Cypress Creek Pkwy,"Houston, TX 77090",III,22,,
436,HCA Houston Healthcare Southeast,4000 Spencer Hwy,"Pasadena, TX 77504",III,22,,
437,HCA Houston Healthcare Tomball,605 Holderrieth Blvd,"Tomball, TX 77375",II,,,
438,HCA Houston Healthcare West,12141 Richmond Ave,"Houston, TX 77082",II,,Private Practice,"Rita Makhlouf, MD"
439,HCA Houston Heathcare Clear Lake,500 W. Medical Center Blvd,"Webster, TX 77598",III,42,,
440,Helen DeVos Children’s Hospital,100 Michigan St NE,"Grand Rapids, MI 49503",IV,108,Employed Group,"Ed Beaumont, MD"
441,Henderson Hospital,1050 W Gallaria Dr.,"Henderson, NV 89011",II,8,Private Practice,"Philip Vaughn, MD"
442,Hendersonville Medical Center,355 New Shackle Island Rd,"Hendersonville, TN 37075",II,6,Private Practice,
443,Hendrick Medical Center,1900 Pine St,"Abilene, TX 79601",III,25,Private Practice,"Richard Deulofeut, MD"
444,Hendricks Regional Health,"1000 E Main St,","Danville, IN 46122",II,,,
445,Hennepin County Medical Center,730 S 8th,"Minneapolis, MN 55415",III,21,Academic Program,"Constance Adkisson, MD"
446,Henrico Doctor’s Hospital,1602 Skipwith Rd,"Richmond, VA 23229",III,40,Private Practice,"Vicki Rose, MD"
447,Henry Ford Allegiance Health,205 N East Ave,"Jackson, MI 49201",II,9,,
448,Henry Ford Hospital,2799 W Grand Blvd,"Detroit, MI 48202",III,35,Academic Program,"Sudhakar Ezhuthachan, MD"
449,Henry Ford Macomb Hospital,15855 19 Mile Rd.,"Clinton Twp, MI 48038",II,6,Academic Program,
450,Henry Ford West Bloomfield Hospital,6777 W Maple Rd,"West Bloomfield Township, MI 48322",II,7,Academic Program,
451,Henry Ford Wyandotte Hospital,2333 Biddle Ave,"Wyandotte, MI 48192",II,8,Academic Program,
452,Henry Mayo Newhall Hospital,23845 McBean Pkwy,"Valencia, CA 91355",III,11,Private Practice,
453,Hialeah Hospital,651 East 25th St,"Hialeah, FL 33013",II,,Private Practice,
454,Highland Hospital,1411 E 31st St,"Oakland, CA 94602",II,,,
455,Highline Community Hospital,16251 Sylvester Rd SW,"Burien, WA  98166",II,,Academic Program,"Meenakshi Dutta, MD"
456,Hilcrest Hospital South,8801 S 101st E Ave,"Tulsa, OK 74133",II,,Private Practice,"Robert Lawson, DO"
457,Hillcrest Hospital,6780 Mayfield Rd,"Mayfield Heights, OH 44124",III,35,Academic Program,"Firas Saker, MD"
458,Hillcrest Medical Center,1120 S Utica Ave,"Tulsa, OK 74104",III,42,Private Practice,"Parker Simon, DO"
459,Hoag Hospital Newport Beach,1 Hoag Dr,"Newport Beach, CA 92663",III,21,Private Practice,"Robert Hillyard, MD"
460,Holland Hospital,602 Michigan Ave,"Holland, MI 49423",II,8,,
461,Hollywood Presbyterian Medical Center,1300 N Vermont Ave,"Los Angeles, CA 90027",III,24,,
462,Holmes Regional Medical Center,1350 Hickory St,"Melbourne, FL 32901",II,12,Employed Group,
463,Holy Cross Germantown Hospital,"19801 Observation Dr,","Germantown, MD 20876",II,8,Private Practice,"John Rouhani, MD"
464,Holy Cross Hospital,4725 N Federal Hwy,"Fort Lauderdale, FL 33308",II,,Private Practice,"Jwalanaiah Bellur, MD"
465,Holy Cross Hospital,1500 Forest Glen Rd,"Silver Spring, MD 20910",III,46,Private Practice,"Isabelle Von Kohorn, MD"
466,Holy Family Hospital,70 East St,"Methuen, MA 01844, USA",II,10,Academic Program,"Sanja Aurora, MD"
467,Holy Redeemer Hospital,1648 Huntingdon Pike,"Meadowbrook, PA 19046",III,15,Academic Program,"Amy Zucker, MD"
468,Homestead Hospital,975 Baptist Way,"Homestead, FL 33033",II,,,
469,Honor Health Scottsdale – Osborn,7400 E. Osborn Road,"Scottsdale, AZ 85251",II,5,Private Practice,"Matt Abrams, MD"
470,HonorHealth Scottsdale – Shea,9003 E. Shea Blvd,"Scottsdale, AZ 85260",III,28,Private Practice,"Matt Abrams, MD"
471,Horizon Medical Center,111 Highway 70 East,"Dickson, TN 37055",II,6,Private Practice,"Muhammed Ismail, MD"
472,Hospital at the University of Pennsylvania,"3400 Spruce St,","Philadelphia, PA 19104",III,30,Academic Program,"Phyllis Dennery, MD"
473,Hospital of Central Connecticut,100 Grand Street,"New Britain, CT 06052",III,16,Academic Program,"Nancy Louis, MD"
474,Houston Medical Center,1601 Watson Blvd,"Warner Robins, GA 31093",II,,,
475,Houston Methodist Baytown Hospital,4401 Garth Rd,"Baytown, TX 77521",II,13,Academic Program,
476,Houston Methodist Clear Lake Hospital,"18300 Houston Methodist Dr,","Nassau Bay, TX 77058",II,,,
477,Houston Methodist Hospital,6565 Fannin St,"Houston, TX 77030",III,20,Academic Program,"Maria Carlos, MD"
478,Houston Methodist Sugar Land Hospital,16655 Southwest Fwy,"Sugar Land, TX 77479",II,7,,
479,Houston Methodist West Hospital,18500 Katy Fwy,"Houston, TX 77094",III,20,,
480,Houston Methodist Willowbrook Hospital,18220 TX-249,"Houston, TX 77070",III,,Academic Program,"Athis Arunachalam, MD"
481,Houston Northwest Medical Center,710 Cypress Creek Parkway,"Houston, TX 77090",III,12,Private Practice,"Craig Steiner, MD"
482,Howard County General Hospital,"5755 Charter Dr,","Columbia, MD 21044",III,18,Academic Program,
483,Howard University Hospital,2041 Georgia Ave NW,"Washington, DC 20060",III,9,Academic Program,"Michal Young, MD"
484,HSHS St. Anthony’s Memorial Hospital,503 N Maple St,"Effingham, IL 62401",II,,Academic Program,
485,HSHS St. John’s Hospital,800 E Carpenter St,"Springfield, IL 62769",III,40,Academic Program,"Beau Batton, MD"
486,HSHS St. Joseph’s Hospital,9515 Holy Cross Ln,"Breese, IL 62230",II,,,
487,HSHS St. Mary’s Hospital,1800 E Lake Shore Dr,"Decatur, IL 62521",II,,Private Practice,"Mayra Arzon, MD"
488,HSHS St. Vincent Hospital,835 S Van Buren St,"Green Bay, WI 54301",III,25,Private Practice,
489,Hunt Regional Medical Center,4215 Joe Ramsey Blvd E,"Greenville, TX 75401",III,12,Private Practice,"Asif Khattak, MD"
490,Huntington Hospital,270 Park Ave,"Huntington, NY 11743",II,9,Academic Program,"Shahnaz Orner, MD"
491,Huntington Memorial Hospital,100 W California Blvd,"Pasadena, CA 91105",III,52,Private Practice,"Jamie Powers, MD"
492,Huntsville Hospital,101 Sivley Rd SW,"Huntsville, AL 35801",III,55,Private Practice,"Meyer Dworsky, MD"
