nicu,name,full_address,addr,city_state_zip,level,beds,type,contact,latitude,longitude
333,Eastern Maine Medical Center,"489 State St Bangor, ME 04401",489 State St,"Bangor, ME 04401",III,29,Hospital Employed,"Mark Brown, MD",44.810005613000044,-68.74952573999997
334,Eastside Medical Center,"1700 Medical Way Snellville, GA 30078",1700 Medical Way,"Snellville, GA 30078",III,18,NA,NA,33.87647074800003,-84.01918084199997
335,Edward Hospital,"801 S. Washington Street Naperville, IL 60540",801 S. Washington Street,"Naperville, IL 60540",III,35,Private Practice,"Bob Covert, MD",41.76212419900003,-88.14921385299994
336,Einstein Medical Center Montgomery,"559 W Germantown Pike East Norriton, PA 19403",559 W Germantown Pike,"East Norriton, PA 19403",III,8,Academic Program,"David J. Hoffman, MD",40.15064140000004,-75.34226723399996
337,Einstein Medical Center Philadelphia,"5501 Old York Rd Philadelphia, PA 19141",5501 Old York Rd,"Philadelphia, PA 19141",III,8,Private Practice,NA,NA,NA
338,El Camino Hospital,"2500 Grant Rd Mountain View, CA 94040",2500 Grant Rd,"Mountain View, CA 94040",III,20,Academic Program,"Dharshi Sivakumar, MD",37.369120889000044,-122.07791314599996
339,El Camino Hospital Los Gatos,"815 Pollard Rd Los Gatos, CA 95032",815 Pollard Rd,"Los Gatos, CA 95032",II,NA,Academic Program,"Dharshi Sivakumar, MD",37.26162019100008,-121.96861329499995
340,El Paso Children’s Hospital,"4845 Alameda Ave El Paso, TX 79905",4845 Alameda Ave,"El Paso, TX 79905",IV,50,Academic Program,"Garrett Levin, MD",31.770269475000077,-106.43304760199999
341,Elkhart General Hospital,"600 East Blvd, Elkhart, IN 46514","600 East Blvd,","Elkhart, IN 46514",II,NA,Private Practice,"Robert White, MD",41.68322285900007,-85.99092293799998
342,Elliot Hospital,"1 Elliot Way Manchester, NH 03103",1 Elliot Way,"Manchester, NH 03103",III,26,Network Medical Group,NA,42.98270026900008,-71.43488894899997
343,Ellis Hospital,1101 Nott Street Schenectady NY 12308,1101 Nott Street,Schenectady NY 12308,II,15,Academic Program,"Phillip Pan, MD",42.81978771400003,-73.91891234599996
344,Elmhurst Hospital,"155 E. Brush Hill Road Elmhurst, IL 60126",155 E. Brush Hill Road,"Elmhurst, IL 60126",II,NA,Academic Program,NA,41.861583996000036,-87.93719552299996
345,Elmhurst Hospital Center,"79-01 Broadway Elmhurst, NY 11373",79-01 Broadway,"Elmhurst, NY 11373",III,25,Academic Program,"Randi Wasserman, MD",40.74443419900007,-73.88613693599996
346,Emerson Hospital,"133 Old Rd to 9 Acre Corner Concord, MA 01742",133 Old Rd to 9 Acre Corner,"Concord, MA 01742",II,5,Academic Program,"Johnathan Cronin, MD",42.45318974700007,-71.37674237599998
347,Emory Decatur Hospital,"2701 N Decatur Rd Decatur, GA 30033",2701 N Decatur Rd,"Decatur, GA 30033",III,42,Private Practice,NA,33.792014563000066,-84.28366450699997
348,Emory Johns Creek Hospital,"6325 Hospital Pkwy Johns Creek, GA 30097",6325 Hospital Pkwy,"Johns Creek, GA 30097",III,6,Academic Program,NA,34.06814907000006,-84.17550261599996
349,Emory University Hospital Midtown,"550 Peachtree St NE Atlanta, GA 30308",550 Peachtree St NE,"Atlanta, GA 30308",III,48,Academic Program,"Brenda Poindexter, MD",33.76921768400007,-84.38520557099997
350,Englewood Hospital and Medical Center,"350 Engle St, Englewood, NJ 07631","350 Engle St,","Englewood, NJ 07631",III,13,Hospital Employed,NA,NA,NA
351,Ephrata Community Hospital,"169 Martin Ave Ephrata, PA 17522",169 Martin Ave,"Ephrata, PA 17522",III,5,Private Practice,NA,40.18595179300007,-76.18389076299997
352,Erlanger East Hospital,"1751 Gunbarrel Rd Chattanooga, TN 37421",1751 Gunbarrel Rd,"Chattanooga, TN 37421",II,6,Academic Program,"Anuj Sinha, DO",35.02237672000007,-85.15980629399996
353,Eskenazi Health,"720 Eskenazi Ave Indianapolis, IN 46202",720 Eskenazi Ave,"Indianapolis, IN 46202",II,30,Employed Group,NA,39.77755211300007,-86.18287286899994
354,Essentia Health – Fargo,"3000 32nd Ave S Fargo, ND 58103",3000 32nd Ave S,"Fargo, ND 58103",III,10,NA,NA,46.832502214000044,-96.82647948399995
355,Essentia Health – St. Mary’s Hospital,"400 E 3rd St Duluth, MN 55805",400 E 3rd St,"Duluth, MN 55805",III,18,Hospital Employed,"Lee A. Muskovitz, MD",46.79284408400008,-92.09638982999996
356,Evanston Hospital,"2650 Ridge Ave. Evanston, IL 60201",2650 Ridge Ave.,"Evanston, IL 60201",III,44,Network Medical Group,"William Mackendrick, MD",42.064736466000056,-87.68340429499995
357,Evergreen Hospital,"12040 NE 128th St Kirkland, WA  98034",12040 NE 128th St,"Kirkland, WA  98034",III,11,Private Practice,"Barry Lawson, MD",NA,NA
358,Excela Health,"532 West Pittsburgh Street Greensburg, PA 15601",532 West Pittsburgh Street,"Greensburg, PA 15601",II,NA,Academic Program,"Andrea Willeitner, MD",40.301173445000074,-79.55508153199997
359,Fairbanks Memorial Hospital,"1001 Nobel Street Fairbanks, AK 99701",1001 Nobel Street,"Fairbanks, AK 99701",II,13,NA,"Laura Brunner, MD",NA,NA
360,Fairview Hospital,"18101 Lorain Ave Cleveland, OH 44111",18101 Lorain Ave,"Cleveland, OH 44111",III,26,Academic Program,"Jalal Abu-Shaweesh, MD",41.45098536100005,-81.82341511599998
361,Fairview Ridges Hospital,"201 E Nicollet Blvd Burnsville, MN 55337, USA",201 E Nicollet Blvd,"Burnsville, MN 55337, USA",III,23,Academic Program,NA,44.75009033600003,-93.27446233899997
362,Fairview Southdale Hospital,"6401 France Ave S Edina, MN 55435",6401 France Ave S,"Edina, MN 55435",III,18,Academic Program,NA,NA,NA
363,FirstHealth Moore Regional Hospital,"155 Memorial Drive Pinehurst, NC 28374",155 Memorial Drive,"Pinehurst, NC 28374",III,13,Hospital Employed,"Nicholas Lynn, MD",35.205958278000026,-79.45883494199995
364,Flagstaff Medical Center,"1200 N Beaver St Flagstaff, AZ 86001",1200 N Beaver St,"Flagstaff, AZ 86001",II,18,Private Practice,"Claudia Hart, MD",35.20915843600005,-111.64496254599999
365,Flowers Hospital,"4370 W Main St Dothan, AL 36305",4370 W Main St,"Dothan, AL 36305",II,6,Private Practice,NA,31.23594061400007,-85.45766547899996
366,Floyd Medical Center,"304 Turner McCall Blvd Rome, GA 30165",304 Turner McCall Blvd,"Rome, GA 30165",III,23,Hospital Employed,NA,34.260400133000076,-85.17812334999996
367,Flushing Hospital Medical Center,"4500 Parsons Blvd Flushing, NY 11355",4500 Parsons Blvd,"Flushing, NY 11355",III,20,Academic Program,"Lourdes Cohen, MD",NA,NA
368,Forbes Hospital,"2570 Haymaker Rd Monroeville, PA 15146",2570 Haymaker Rd,"Monroeville, PA 15146",II,NA,Network Medical Group,NA,40.42659697500005,-79.75087590599998
369,Forrest General Hospital,"6051 US 49 Hattiesburg, MS 39401",6051 US 49,"Hattiesburg, MS 39401",III,23,Private Practice,NA,31.35332652900007,-89.34264484599998
370,Forsyth Medical Center,"3333 Silas Creek Pkwy Winston-Salem, NC 27103",3333 Silas Creek Pkwy,"Winston-Salem, NC 27103",III,56,Private Practice,NA,36.07417289000006,-80.29873829199994
371,Fort Hamilton Hospital,"630 Eaton Ave Hamilton, OH 45013",630 Eaton Ave,"Hamilton, OH 45013",II,8,Academic Program,NA,39.415065638000044,-84.57378150899996
372,Fountain Valley Regional Hospital & Medical Center,"11100 Warner Ave Fountain Valley, CA 92708",11100 Warner Ave,"Fountain Valley, CA 92708",III,23,Private Practice,NA,33.71631595800005,-117.93507755599995
373,Franciscan Health Crown Point,"1201 S Main St Crown Point, IN 46307",1201 S Main St,"Crown Point, IN 46307",III,20,Private Practice,"Brett Galley, MD",41.396957033000035,-87.36442468299998
374,Franciscan Health Dyer,"24 Joliet St Dyer, IN 46311",24 Joliet St,"Dyer, IN 46311",II,NA,Private Practice,"Brett Galley, MD",41.49423004100004,-87.52347237799995
375,Franciscan Health Hammond,"5454 Hohman Avenue Hammond, IN 46320",5454 Hohman Avenue,"Hammond, IN 46320",II,NA,Private Practice,"Brett Galley, MD",41.61534321900007,-87.52202605699995
376,Franciscan Health Lafayette East,"1701 S Creasy Lane Lafayette, IN 47905",1701 S Creasy Lane,"Lafayette, IN 47905",III,14,Private Practice,"Rosaria Chua, MD",40.39307699900007,-86.83837554399997
377,Franciscan Health Mooresville,"1201 Hadley Rd Mooresville, IN 46158",1201 Hadley Rd,"Mooresville, IN 46158",II,NA,Network Medical Group,NA,39.609342807000075,-86.35594441599994
378,Franciscan Health Olympia Fields,"20201 Crawford Ave, Olympia Fields, IL 60461","20201 Crawford Ave,","Olympia Fields, IL 60461",II,NA,Network Medical Group,NA,41.52381041600006,-87.71323214999995
379,Franciscan St. Francis Health,"8111 S. Emerson Ave. Indianapolis, IN 46237",8111 S. Emerson Ave.,"Indianapolis, IN 46237",III,24,Academic Program,"Paul D. Winchester, MD",39.648279365000064,-86.08264900099994
380,Frankfort Regional Medical Director,"299 Kings Daughters Dr Frankfort, KY 40601",299 Kings Daughters Dr,"Frankfort, KY 40601",II,4,Academic Program,NA,38.16307514700003,-84.90332764899995
381,Franklin Square Hospital Center,"9000 Franklin Square Dr, Baltimore, MD 21237","9000 Franklin Square Dr,","Baltimore, MD 21237",III,23,Employed Group,"Fernando V. Mena, MD",39.35058422000003,-76.48189725499998
382,Frederick Memorial Hospital,"400 W 7th St, Frederick, MD 21701","400 W 7th St,","Frederick, MD 21701",III,30,Academic Program,NA,39.42368802900006,-77.41392633699996
383,Freeman Hospital West,"1102 W. 32nd St Joplin, MO 64804",1102 W. 32nd St,"Joplin, MO 64804",III,24,Employed Group,NA,37.05516458000005,-94.52407729499998
384,French Hospital Medical Center,"1911 Johnson Ave San Luis Obispo, CA 93401",1911 Johnson Ave,"San Luis Obispo, CA 93401",II,8,NA,NA,35.278205754000055,-120.64977449199995
385,Froedtert Hospital,"9200 W. Wisconsin Ave. Milwaukee, WI 53226",9200 W. Wisconsin Ave.,"Milwaukee, WI 53226",II,NA,Academic Program,NA,NA,NA
386,Froedtert Pleasant Prairie Hospital,"9555 76th St, Pleasant Prairie, WI 53158","9555 76th St,","Pleasant Prairie, WI 53158",II,NA,Employed Group,NA,42.56606667500006,-87.92556253399994
387,Froedtert West Bend Hospital,"3200 Pleasant Valley Rd West Bend, WI 53095",3200 Pleasant Valley Rd,"West Bend, WI 53095",II,NA,Academic Program,NA,43.353240536000044,-88.19770467399997
388,Frye Regional Medical Center,"420 N Center St Hickory, NC 28601",420 N Center St,"Hickory, NC 28601",II,6,Private Practice,"Samuel Wellman, MD",35.73694451700004,-81.33776409199999
389,Garden Grove Hospital And Medical Center,"12601 Garden Grove Blvd Garden Grove, CA 92843",12601 Garden Grove Blvd,"Garden Grove, CA 92843",II,NA,NA,NA,33.77451967700006,-117.91432580499998
390,Garfield Medical Center,"525 N Garfield Ave Monterey Park, CA 91754",525 N Garfield Ave,"Monterey Park, CA 91754",II,20,NA,NA,34.06783340000004,-118.12289731599998
391,Geary Community Hospital – Junction City,"1102 St Marys Rd Junction City, KS 66441",1102 St Marys Rd,"Junction City, KS 66441",II,NA,NA,NA,39.01252684600007,-96.85079897399999
392,Geinsinger Holy Spirit Hospital,"503 N. 21st St. Camp Hill, PA 17011",503 N. 21st St.,"Camp Hill, PA 17011",III,5,Network Medical Group,"Carrie Delone, MD",40.252517761000036,-76.92379857199995
393,Geisinger Medical Center,"100 N. Academy Ave Danville, PA 17822",100 N. Academy Ave,"Danville, PA 17822",IV,41,Network Medical Group,NA,40.968189109000036,-76.60146750899997
394,Geisinger Wyoming Valley Medical Center,"1000 E Mountain Blvd Wilkes-Barre, PA 18711",1000 E Mountain Blvd,"Wilkes-Barre, PA 18711",II,13,Network Medical Group,NA,NA,NA
395,Genesis Medical Center – Davenport,"1227 East Rusholme Street Davenport, IA 52803",1227 East Rusholme Street,"Davenport, IA 52803",II,20,NA,"Ram Niwas,. MD",41.54284097300007,-90.55751448299998
396,Genesis Medical Center – Silvis,"801 Illini Dr Silvis, IL 61282",801 Illini Dr,"Silvis, IL 61282",II,NA,NA,NA,NA,NA
397,George Washington University Hospital,"900 23rd St NW Washington, DC 20037",900 23rd St NW,"Washington, DC 20037",III,18,Academic Program,"Mohamed  Mohamed, MD",38.900802439000074,-77.05013514899997
398,Georgetown University Hospital,"3800 Reservoir Road Northwest Washington, DC 20007",3800 Reservoir Road Northwest,"Washington, DC 20007",IV,36,Academic Program,"Jayashree Ramasethu, MD",38.912587400000064,-77.07442116899995
399,Glendale Adventist Medical Center,"1509 Wilson Terrace Glendale, CA 91206",1509 Wilson Terrace,"Glendale, CA 91206",II,14,Private Practice,NA,34.149572567000064,-118.23125990699998
400,Glendale Memorial Hospital,"1420 S Central Ave Glendale, CA 91204",1420 S Central Ave,"Glendale, CA 91204",III,13,Private Practice,"Robert Gall, MD",34.12839426100004,-118.25778019599994
401,Glenwood Regional Medical Center,"503 McMillan Rd West Monroe, LA 71291",503 McMillan Rd,"West Monroe, LA 71291",II,6,Private Practice,"Marc de Soler, MD",32.51340649800005,-92.15548257899997
402,Golisano Children’s Hospital of Southwest Florida,"9981 S Healthpark Dr Fort Myers, FL 33908",9981 S Healthpark Dr,"Fort Myers, FL 33908",III,70,Private Practice,"William Liu, MD",26.503599791000056,-81.91402986399999
403,Golisano Children’s Hospital,"601 Elmwood Ave Rochester, NY 14642",601 Elmwood Ave,"Rochester, NY 14642",IV,68,Academic Program,"Jeffrey Meyers, MD",43.12438257800005,-77.62459842699997
404,Good Samaritan Hospital,"2425 Samaritan Dr San Jose, CA 95124",2425 Samaritan Dr,"San Jose, CA 95124",III,51,Private Practice,Richard Powers MD,37.25111566100003,-121.94560761099996
405,Good Samaritan Hospital,"235 N Pearl St Brockton, MA 02301, USA",235 N Pearl St,"Brockton, MA 02301, USA",II,10,Academic Program,"Shah Hossain, MD",NA,NA
406,Good Samaritan Hospital,"375 Dixmyth Ave Cincinnati, OH 45220",375 Dixmyth Ave,"Cincinnati, OH 45220",III,60,Academic Program,"Amy Nathan, MD",39.141031369000075,-84.52062626999998
407,Good Samaritan Hospital,"1225 Wilshire Blvd Los Angeles, CA 90017",1225 Wilshire Blvd,"Los Angeles, CA 90017",III,23,NA,NA,34.053232353000055,-118.26535863199996
408,Good Samaritan Hospital,"255 Lafayette Ave Suffern, NY 10901",255 Lafayette Ave,"Suffern, NY 10901",II,10,Academic Program,"Martin Katzenstein, MD",41.112303051000026,-74.13520797399997
409,Good Samaritan Hospital Medical Center,"1000 Montauk Hwy West Islip, NY 11795",1000 Montauk Hwy,"West Islip, NY 11795",III,16,Private Practice,"Prabhu Mehta, MD",40.695864769000025,-73.29462717599995
410,Good Samaritan Medical Center,"1309 N Flagler Dr West Palm Beach, FL 33401, USA",1309 N Flagler Dr,"West Palm Beach, FL 33401, USA",II,NA,Private Practice,NA,26.724532860000068,-80.04982453799994
411,Grady Memorial Hospital,"80 Jesse Hill Jr Dr SE Atlanta, GA 30303",80 Jesse Hill Jr Dr SE,"Atlanta, GA 30303",III,42,Academic Program,"George Bugg, MD",33.754230792000044,-84.38045299099997
412,Graham Hospital,"210 W Walnut St Canton, IL 61520",210 W Walnut St,"Canton, IL 61520",II,NA,NA,NA,40.553321709000045,-90.03960273799999
413,Grand Strand Regional Medical Center,"809 82nd Pkwy, Myrtle Beach, SC 29572","809 82nd Pkwy,","Myrtle Beach, SC 29572",II,2,Private Practice,"Anthony Caeton, MD",33.75533000100006,-78.81703847399996
414,Grand View Hospital,"700 Lawn Ave Sellersville, PA 18960",700 Lawn Ave,"Sellersville, PA 18960",II,6,Academic Program,"Ana Sosnovsky, MD",40.36271186000005,-75.32441450699997
415,Grandview Medical Center,"3690 Grandview Pkwy Birmingham, AL 35243",3690 Grandview Pkwy,"Birmingham, AL 35243",III,12,Academic Program,"Allison Black, MD",NA,NA
416,Grant Medical Center,"111 S Grant Ave Columbus, OH 43215",111 S Grant Ave,"Columbus, OH 43215",III,18,Private Practice,"Craig Anderson, MD",39.96113767800006,-82.99064755899997
417,Greater Baltimore Medical Center,"6701 Charles St Towson, MD 21204",6701 Charles St,"Towson, MD 21204",III,23,Employed Group,"Howard Birenbaum, MD",NA,NA
418,Greenwich Hospital,"5 Perryridge Road Greenwich, CT 06830",5 Perryridge Road,"Greenwich, CT 06830",III,10,Academic Program,Open Position,41.034847703000025,-73.62937694099998
419,Gulf Coast Regional Medical Center,"449 W 23rd St Panama City, FL 32405",449 W 23rd St,"Panama City, FL 32405",III,28,Private Practice,"Tony Pena, MD",30.189700566000056,-85.66744012199996
420,Gundersen Lutheran Medical Center,"1900 South Ave La Crosse, WI 54601",1900 South Ave,"La Crosse, WI 54601",III,14,Network Medical Group,"Kate Moen, MD",43.795194528000025,-91.24693069499995
421,Hackensack University Medical Center,"30 Prospect Ave, Hackensack, NJ 07601","30 Prospect Ave,","Hackensack, NJ 07601",III,40,Academic Program,NA,40.88463560800005,-74.05762375199998
422,Halifax Health Medical Center,"303 N Clyde Morris Blvd Daytona Beach, FL 32114",303 N Clyde Morris Blvd,"Daytona Beach, FL 32114",III,14,Academic Program,NA,29.19948288300003,-81.05474668199997
423,Hamilton Medical Center,"1200 Memorial Drive Dalton, GA 30722-1168",1200 Memorial Drive,"Dalton, GA 30722-1168",III,12,Private Practice,"Travis Carroll, MD",34.78887257700006,-84.98383469599997
424,Harbor Hospital,"3001 S Hanover St, Baltimore, MD 21225","3001 S Hanover St,","Baltimore, MD 21225",II,13,Academic Program,"Laurel Yap, MD",39.251538494000044,-76.61513191399996
425,Harbor-UCLA Medical Center,"1000 W Carson St Torrance, CA 90502",1000 W Carson St,"Torrance, CA 90502",III,35,Academic Program,"Virender Rehan, MD",33.83158168400007,-118.29219100099999
426,Hardin Memorial Hospital,913 N. Dixie Hwy Elizabethtown KY 42701,913 N. Dixie Hwy,Elizabethtown KY 42701,II,6,Academic Program,NA,NA,NA
427,Harlem Hospital Center,"506 Lenox Ave New York, NY 10037",506 Lenox Ave,"New York, NY 10037",III,15,Academic Program,"Mary Marron-Corwin, MD",40.81491821600008,-73.94025552399995
428,Harlingen Medical Center,"5501 US-77 Harlingen, TX 78550",5501 US-77,"Harlingen, TX 78550",II,NA,NA,NA,NA,NA
429,Harrison Medical Center,"1800 NW Myhre Rd Silverdale, WA  98383",1800 NW Myhre Rd,"Silverdale, WA  98383",II,10,Academic Program,"Steve Welty, MD",NA,NA
430,Hartford Hospital,"282 Washington St Hartford, CT 06106",282 Washington St,"Hartford, CT 06106",IV,32,Academic Program,"Annmarie Golioto, MD",41.75500896600005,-72.68265305499995
431,Haymarket Medical Center,"15225 Heathcote Blvd Haymarket, VA 20169",15225 Heathcote Blvd,"Haymarket, VA 20169",II,16,Private Practice,"Shantharama Karanth, MD",NA,NA
432,Hays Medical Center,"2220 Canterbury Dr Hays, KS 67601",2220 Canterbury Dr,"Hays, KS 67601",II,6,NA,NA,38.87848924700006,-99.29922601799996
433,HCA Houston Healthcare Conroe,"504 Medical Center Blvd Conroe, TX 77304",504 Medical Center Blvd,"Conroe, TX 77304",III,22,NA,NA,30.28426870100003,-95.46627104499998
434,HCA Houston Healthcare Kingwood,"22999 US-59 N Kingwood, TX 77339",22999 US-59 N,"Kingwood, TX 77339",III,24,NA,NA,30.052550178000047,-95.25242251399999
435,HCA Houston Healthcare Northwest,"710 Cypress Creek Pkwy Houston, TX 77090",710 Cypress Creek Pkwy,"Houston, TX 77090",III,22,NA,NA,NA,NA
436,HCA Houston Healthcare Southeast,"4000 Spencer Hwy Pasadena, TX 77504",4000 Spencer Hwy,"Pasadena, TX 77504",III,22,NA,NA,29.66514008000007,-95.18293339899998
437,HCA Houston Healthcare Tomball,"605 Holderrieth Blvd Tomball, TX 77375",605 Holderrieth Blvd,"Tomball, TX 77375",II,NA,NA,NA,30.08938427100003,-95.62406991199998
438,HCA Houston Healthcare West,"12141 Richmond Ave Houston, TX 77082",12141 Richmond Ave,"Houston, TX 77082",II,NA,Private Practice,"Rita Makhlouf, MD",29.730710776000024,-95.59301640399997
439,HCA Houston Heathcare Clear Lake,"500 W. Medical Center Blvd Webster, TX 77598",500 W. Medical Center Blvd,"Webster, TX 77598",III,42,NA,NA,NA,NA
440,Helen DeVos Children’s Hospital,"100 Michigan St NE Grand Rapids, MI 49503",100 Michigan St NE,"Grand Rapids, MI 49503",IV,108,Employed Group,"Ed Beaumont, MD",42.97050229900003,-85.66636591799994
441,Henderson Hospital,"1050 W Gallaria Dr. Henderson, NV 89011",1050 W Gallaria Dr.,"Henderson, NV 89011",II,8,Private Practice,"Philip Vaughn, MD",NA,NA
442,Hendersonville Medical Center,"355 New Shackle Island Rd Hendersonville, TN 37075",355 New Shackle Island Rd,"Hendersonville, TN 37075",II,6,Private Practice,NA,36.32340317200004,-86.62066617999994
443,Hendrick Medical Center,"1900 Pine St Abilene, TX 79601",1900 Pine St,"Abilene, TX 79601",III,25,Private Practice,"Richard Deulofeut, MD",32.47170787600004,-99.73112355199999
444,Hendricks Regional Health,"1000 E Main St, Danville, IN 46122","1000 E Main St,","Danville, IN 46122",II,NA,NA,NA,39.75955782800003,-86.51108345899996
445,Hennepin County Medical Center,"730 S 8th Minneapolis, MN 55415",730 S 8th,"Minneapolis, MN 55415",III,21,Academic Program,"Constance Adkisson, MD",NA,NA
446,Henrico Doctor’s Hospital,"1602 Skipwith Rd Richmond, VA 23229",1602 Skipwith Rd,"Richmond, VA 23229",III,40,Private Practice,"Vicki Rose, MD",37.60208655800005,-77.53771793299995
447,Henry Ford Allegiance Health,"205 N East Ave Jackson, MI 49201",205 N East Ave,"Jackson, MI 49201",II,9,NA,NA,42.25073015000004,-84.39375337699994
448,Henry Ford Hospital,"2799 W Grand Blvd Detroit, MI 48202",2799 W Grand Blvd,"Detroit, MI 48202",III,35,Academic Program,"Sudhakar Ezhuthachan, MD",42.36681728900004,-83.08281586299995
449,Henry Ford Macomb Hospital,"15855 19 Mile Rd. Clinton Twp, MI 48038",15855 19 Mile Rd.,"Clinton Twp, MI 48038",II,6,Academic Program,NA,42.612654133000035,-82.96428789699996
450,Henry Ford West Bloomfield Hospital,"6777 W Maple Rd West Bloomfield Township, MI 48322",6777 W Maple Rd,"West Bloomfield Township, MI 48322",II,7,Academic Program,NA,42.541565056000024,-83.40801907699995
451,Henry Ford Wyandotte Hospital,"2333 Biddle Ave Wyandotte, MI 48192",2333 Biddle Ave,"Wyandotte, MI 48192",II,8,Academic Program,NA,42.21040218200005,-83.14895546399998
452,Henry Mayo Newhall Hospital,"23845 McBean Pkwy Valencia, CA 91355",23845 McBean Pkwy,"Valencia, CA 91355",III,11,Private Practice,NA,NA,NA
453,Hialeah Hospital,"651 East 25th St Hialeah, FL 33013",651 East 25th St,"Hialeah, FL 33013",II,NA,Private Practice,NA,NA,NA
454,Highland Hospital,"1411 E 31st St Oakland, CA 94602",1411 E 31st St,"Oakland, CA 94602",II,NA,NA,NA,37.79958164400006,-122.23307753899996
455,Highline Community Hospital,"16251 Sylvester Rd SW Burien, WA  98166",16251 Sylvester Rd SW,"Burien, WA  98166",II,NA,Academic Program,"Meenakshi Dutta, MD",47.45685120700006,-122.34134771899994
456,Hilcrest Hospital South,"8801 S 101st E Ave Tulsa, OK 74133",8801 S 101st E Ave,"Tulsa, OK 74133",II,NA,Private Practice,"Robert Lawson, DO",36.032187548000024,-95.86468537699994
457,Hillcrest Hospital,"6780 Mayfield Rd Mayfield Heights, OH 44124",6780 Mayfield Rd,"Mayfield Heights, OH 44124",III,35,Academic Program,"Firas Saker, MD",41.52010474600007,-81.43395137699997
458,Hillcrest Medical Center,"1120 S Utica Ave Tulsa, OK 74104",1120 S Utica Ave,"Tulsa, OK 74104",III,42,Private Practice,"Parker Simon, DO",36.06036981200003,-95.96607424199999
459,Hoag Hospital Newport Beach,"1 Hoag Dr Newport Beach, CA 92663",1 Hoag Dr,"Newport Beach, CA 92663",III,21,Private Practice,"Robert Hillyard, MD",33.62415621100007,-117.92875197399997
460,Holland Hospital,"602 Michigan Ave Holland, MI 49423",602 Michigan Ave,"Holland, MI 49423",II,8,NA,NA,42.77252614200006,-86.11421116899999
461,Hollywood Presbyterian Medical Center,"1300 N Vermont Ave Los Angeles, CA 90027",1300 N Vermont Ave,"Los Angeles, CA 90027",III,24,NA,NA,34.09557114200004,-118.29174170299996
462,Holmes Regional Medical Center,"1350 Hickory St Melbourne, FL 32901",1350 Hickory St,"Melbourne, FL 32901",II,12,Employed Group,NA,28.087664928000038,-80.61354110799994
463,Holy Cross Germantown Hospital,"19801 Observation Dr, Germantown, MD 20876","19801 Observation Dr,","Germantown, MD 20876",II,8,Private Practice,"John Rouhani, MD",39.179530068000076,-77.24279368899994
464,Holy Cross Hospital,"4725 N Federal Hwy Fort Lauderdale, FL 33308",4725 N Federal Hwy,"Fort Lauderdale, FL 33308",II,NA,Private Practice,"Jwalanaiah Bellur, MD",26.185569437000026,-80.11754449999995
465,Holy Cross Hospital,"1500 Forest Glen Rd Silver Spring, MD 20910",1500 Forest Glen Rd,"Silver Spring, MD 20910",III,46,Private Practice,"Isabelle Von Kohorn, MD",39.01600639000003,-77.03526001599994
466,Holy Family Hospital,"70 East St Methuen, MA 01844, USA",70 East St,"Methuen, MA 01844, USA",II,10,Academic Program,"Sanja Aurora, MD",42.72605263200006,-71.16407485199994
467,Holy Redeemer Hospital,"1648 Huntingdon Pike Meadowbrook, PA 19046",1648 Huntingdon Pike,"Meadowbrook, PA 19046",III,15,Academic Program,"Amy Zucker, MD",40.108878220000065,-75.08120196799996
468,Homestead Hospital,"975 Baptist Way Homestead, FL 33033",975 Baptist Way,"Homestead, FL 33033",II,NA,NA,NA,NA,NA
469,Honor Health Scottsdale – Osborn,"7400 E. Osborn Road Scottsdale, AZ 85251",7400 E. Osborn Road,"Scottsdale, AZ 85251",II,5,Private Practice,"Matt Abrams, MD",33.48765726100004,-111.92373944999997
470,HonorHealth Scottsdale – Shea,"9003 E. Shea Blvd Scottsdale, AZ 85260",9003 E. Shea Blvd,"Scottsdale, AZ 85260",III,28,Private Practice,"Matt Abrams, MD",33.58255142500008,-111.88583546599995
471,Horizon Medical Center,"111 Highway 70 East Dickson, TN 37055",111 Highway 70 East,"Dickson, TN 37055",II,6,Private Practice,"Muhammed Ismail, MD",36.072476401000074,-87.37379913499996
472,Hospital at the University of Pennsylvania,"3400 Spruce St, Philadelphia, PA 19104","3400 Spruce St,","Philadelphia, PA 19104",III,30,Academic Program,"Phyllis Dennery, MD",39.95047006900006,-75.19280620499995
473,Hospital of Central Connecticut,"100 Grand Street New Britain, CT 06052",100 Grand Street,"New Britain, CT 06052",III,16,Academic Program,"Nancy Louis, MD",41.66210334600004,-72.78551753399995
474,Houston Medical Center,"1601 Watson Blvd Warner Robins, GA 31093",1601 Watson Blvd,"Warner Robins, GA 31093",II,NA,NA,NA,32.61820865900006,-83.62962677299998
475,Houston Methodist Baytown Hospital,"4401 Garth Rd Baytown, TX 77521",4401 Garth Rd,"Baytown, TX 77521",II,13,Academic Program,NA,29.768981445000065,-94.97754193799994
476,Houston Methodist Clear Lake Hospital,"18300 Houston Methodist Dr, Nassau Bay, TX 77058","18300 Houston Methodist Dr,","Nassau Bay, TX 77058",II,NA,NA,NA,NA,NA
477,Houston Methodist Hospital,"6565 Fannin St Houston, TX 77030",6565 Fannin St,"Houston, TX 77030",III,20,Academic Program,"Maria Carlos, MD",29.711363749000043,-95.39956284599998
478,Houston Methodist Sugar Land Hospital,"16655 Southwest Fwy Sugar Land, TX 77479",16655 Southwest Fwy,"Sugar Land, TX 77479",II,7,NA,NA,NA,NA
